id,texto,rotulo
1,Acordei animado e com vontade de começar o dia.,positivo
2,Foi muito bom conversar com meus amigos ontem.,positivo
3,Estou orgulhoso do resultado que consegui no trabalho.,positivo
4,Hoje encontrei uma solução para um problema difícil.,positivo
5,Sinto esperança de que as coisas vão melhorar.,positivo
6,Recebi uma mensagem carinhosa e fiquei contente.,positivo
7,Consegui descansar e estou me sentindo renovado.,positivo
8,Estou satisfeito com o progresso dos meus estudos.,positivo
9,Foi uma surpresa agradável encontrar minha família.,positivo
10,Terminei a tarefa e fiquei aliviado com o resultado.,positivo
11,O dia está normal e não tenho uma opinião forte.,neutro
12,Estou pensando no que farei durante o fim de semana.,neutro
13,A reunião aconteceu conforme o planejado.,neutro
14,Ainda estou avaliando as opções antes de decidir.,neutro
15,Recebi a informação e vou analisá-la com calma.,neutro
16,Hoje trabalhei nas atividades habituais.,neutro
17,Não sei dizer ainda como me sinto sobre isso.,neutro
18,A situação mudou pouco desde ontem.,neutro
19,Estou observando os acontecimentos antes de responder.,neutro
20,Tenho uma expectativa moderada para a próxima semana.,neutro
21,Estou preocupado com o resultado da prova.,negativo
22,Senti tristeza depois daquela conversa.,negativo
23,O problema no trabalho me deixou muito frustrado.,negativo
24,Estou cansado e sem energia para continuar hoje.,negativo
25,Fiquei decepcionado com a notícia.,negativo
26,Tenho medo de não conseguir cumprir o prazo.,negativo
27,A discussão me deixou irritado.,negativo
28,Estou com dificuldade para me concentrar nos estudos.,negativo
29,Sinto falta de alguém importante para mim.,negativo
30,A espera pela resposta está me deixando ansioso.,negativo
31,"Que gafe do VídeoShow, colocar uma cena de morte, no dia da morte do Nelson Xavier.  #VideoShowAoVivo",negativo
32,Tapoha q prova difícil #MasterChefBR,neutro
33,A voz da Vanessa da mata é uma coisa maravilhosa #altasHoras,positivo
34,poooooooorra Mirian deixa o cara abrir a panela  #MasterChefBR,negativo
35,"#MasterChefBR preciso parar de assistir esse programa, a vontade de cursar gastronomia aumenta a cada ep",neutro
36,A Globo ja pode contratar a Mirian #MasterChefBR,positivo
37,#VideoShowAoVivo @user  que saudades do Wando. Muito romântico!,negativo
38,A Fátima já podia pedir pra o Nando cantar né? #NandoReisNoEncontro #Encontro,neutro
39,A @user está linda! #encontro,positivo
40,Todo dia é um 7 X 1 diferente...Só TOMBO! #MasterChefBR,negativo
41,"Já, já logo após o #JornalRational no #ProgramaDoRatinho ☺😂, tem #APraçaÉNossa em seguida tem Carlos Alberto no #TheNoite no @user.",neutro
42,O cabelo dá Ana está maravilhoso #MaisVoce,positivo
43,"gente, q história eh essa q a Ana Luíza foi desclassificada do #MasterChefBR pq já trabalho como profissional????? tava lavando meu cabelo",negativo
44,@user @user @user @user Nossa ontem eu ri tanto com a Yuko do #MasterChefBR com a história do pênis!,neutro
45,#videoshowaovivo Lindooo o look da Lu Ferreira.. joca e otaaa beijuu😗,positivo
46,"Esses colunistas do UOL adoram o SBT, me poupe darem destaque para o esdrúxulo #TheNoite mau gosto define!",negativo
47,É a @user ou @user no #Encontro?,neutro
48,"Jacquin é muito fofo, dá vontade de abraçar ele #MasterChefBR",positivo
49,vitor b não pode sair hoje  #MasterChefBR,negativo
50,G1 em 1 minuto no #Encontro,neutro
51,#VideoShowAoVivo com Fátima Bernardes tudo de bom,positivo
52,EU TÔ CHORANDO  #encontro,negativo
53,Oscarina . Nome diferentao #Encontro,neutro
54,"Vey quero chegar aos 56 igual a mulher do Nando Reis  Que pelee, que linda #Encontro",positivo
55,Q MANCADA ASSUSTAR AS TIAS DA FAXINA KKKKKKKKKKKKKKKKKK PORRA #TheNoite,negativo
56,"Nossa vem aqui Lutador , aqui coisa de alto valor calórico , não falta ! #MasterChefBR",neutro
57,"#Encontro Mando nud p meu esposo, mesmo q ele divulgue eu não vejo problemas, afinal eu não mandava pra qualquer um, mandava p meu parceiro",positivo
58,"Eu vou chorar tanto com: ""Aquarela"" tô morrendo desde já   #DomingoLegal",negativo
59,Mônica é mãe da @user kkkkkk todo mundo já sabe  #édecasa,neutro
60,Amo ouvir Dráuzio #ConversaComBial,positivo
61,Bacuri com tucupi? Bizarro! Kkkkkkkkk #MasterChefBR,negativo
62,#MasterChefBR a abóbora em pauta novamente...kkkk,neutro
63,AMO Vanessa da Mata #AltasHoras,positivo
64,"Não creio que @user saiu, meu mundo caiu💔😔 #MasterChefBR",negativo
65,#thenoite @user armadilha do the noite captura Carlos Alberto.,neutro
66,"banana ativa o hormônio da felicidade, por isso eu amo #Encontro",positivo
